DPM2	CDK5
TUT1	CACNA1I
TUT1	FBXO44
TUT1	MAP1A
TUT1	PHLDA2
TUT1	REXO1
TUT1	C11orf9
TUT1	ALPPL2
TUT1	LOC399904
TUT1	SMAD6
TUT1	PARD6G
TUT1	CDRT15
TUT1	ALPI
TUT1	TBKBP1
TUT1	GLP1R
TUT1	ADAMTS7
TUT1	NYX
TUT1	C20orf181
TUT1	IGF2AS
TUT1	TMEM30B
TUT1	FLJ23185
TUT1	IL17RE
TUT1	CCDC9
TUT1	TBX1
TUT1	FGF17
TUT1	ISYNA1
TUT1	LOC440456
TUT1	MSI1
TUT1	SIRT5
TUT1	FUT5
TUT1	KCNQ1DN
TUT1	SNX22
TUT1	SGCA
TUT1	HCN2
TUT1	DKFZp761P0212
TUT1	MAG
TUT1	NPAS1
TUT1	IQSEC2
TUT1	SLC34A1
TUT1	PLEKHN1
TUT1	TP53TG5
TUT1	BRF1
TUT1	PTGES2
PRO0478	LOC441258
LOC541473	GSX1
LOC541473	LOC283403
LOC541473	LOC283089
LOC541473	HSPC072
LOC541473	LOC203274
LOC541473	ADIG
LOC541473	LOC100130264
LOC541473	KCTD17
LOC541473	KANK1
LOC541473	FLJ21408
LOC541473	KILLIN
LOC541473	FLJ40292
LOC541473	FAM186B
LOC541473	LOC100129656
LOC541473	KIAA1654
LOC541473	LOC100132767
LOC541473	ART1
LOC541473	C1orf20
LOC541473	ADAM22
LOC541473	ASB14
LOC541473	CRIM2
LOC541473	C15orf55
LOC541473	C9orf71
LOC541473	LOC220980
LOC541473	FLJ33706
LOC541473	LOC374890
LOC541473	KRT74
LOC541473	LOC400238
LOC541473	LOC100134368
LOC541473	CAMK2A
LOC541473	KCNJ5
LOC541473	HTR3B
LOC541473	CNTNAP5
LOC541473	C19orf34
LOC541473	LOC389043
LOC541473	GSTTP1
LOC541473	C9orf4
LOC541473	LOC145845
LOC541473	CETN1
LOC541473	CAMK1G
LOC541473	CCDC33
LOC541473	C11orf36
LOC541473	LOC389457
LOC541473	FLJ22596
LOC541473	ACRV1
LOC541473	LOC286149
LOC541473	G6PC2
LOC541473	LOC284939
LOC541473	LOC221122
LOC541473	CACNG6
LOC541473	KIR2DL2
LOC541473	DYSFIP1
